maintenance_id,line_id,date,downtime_minutes,maintenance_type,root_cause
M8901,L1,2024-01-29,81,Planned,Electrical
M4337,L1,2024-05-02,74,Breakdown,Wear & Tear
M1307,L1,2024-06-02,240,Planned,Mechanical
M2407,L1,2024-01-13,198,Breakdown,Wear & Tear
M5497,L1,2024-03-13,96,Planned,Wear & Tear
M9096,L1,2024-04-23,131,Breakdown,Electrical
M4982,L1,2024-06-21,205,Breakdown,Mechanical
M7554,L1,2024-06-28,68,Planned,Wear & Tear
M1465,L1,2024-03-31,147,Planned,Mechanical
M8010,L1,2024-04-05,110,Planned,Mechanical
M4766,L1,2024-02-16,137,Planned,Electrical
M3493,L1,2024-01-28,172,Breakdown,Electrical
M7621,L2,2024-06-12,125,Breakdown,Wear & Tear
M9093,L2,2024-02-17,107,Planned,Wear & Tear
M2863,L2,2024-01-05,206,Breakdown,Mechanical
M9522,L2,2024-04-18,93,Planned,Wear & Tear
M9990,L2,2024-04-30,200,Planned,Mechanical
M4035,L2,2024-02-14,93,Planned,Wear & Tear
M2187,L2,2024-03-03,80,Breakdown,Electrical
M8758,L2,2024-05-12,217,Planned,Electrical
M8834,L2,2024-01-13,215,Breakdown,Electrical
M6175,L2,2024-05-05,110,Planned,Electrical
M3900,L2,2024-04-21,158,Planned,Electrical
M6695,L2,2024-06-01,125,Breakdown,Wear & Tear
M4087,L3,2024-06-10,74,Planned,Mechanical
M1998,L3,2024-03-23,63,Planned,Wear & Tear
M1890,L3,2024-02-24,113,Planned,Wear & Tear
M4226,L3,2024-05-23,238,Planned,Wear & Tear
M7058,L3,2024-05-20,91,Breakdown,Mechanical
M4185,L3,2024-06-15,166,Breakdown,Mechanical
M6391,L3,2024-06-05,122,Planned,Wear & Tear
M9963,L3,2024-01-09,218,Planned,Electrical
M7001,L3,2024-03-23,196,Breakdown,Mechanical
M5725,L3,2024-06-24,109,Breakdown,Electrical
M9764,L3,2024-04-14,175,Breakdown,Wear & Tear
M2466,L3,2024-03-03,203,Planned,Mechanical
M1527,L4,2024-03-04,65,Planned,Electrical
M5446,L4,2024-01-09,220,Planned,Mechanical
M4683,L4,2024-01-16,200,Breakdown,Electrical
M1014,L4,2024-04-21,226,Breakdown,Electrical
M9021,L4,2024-06-21,220,Planned,Wear & Tear
M7659,L4,2024-06-10,128,Planned,Electrical
M8954,L4,2024-01-22,194,Planned,Electrical
M2698,L4,2024-01-12,174,Planned,Electrical
M6576,L4,2024-05-02,117,Breakdown,Wear & Tear
M2793,L4,2024-01-01,221,Breakdown,Electrical
M6446,L4,2024-04-13,128,Planned,Mechanical
M8221,L4,2024-01-13,163,Planned,Mechanical
M1578,L5,2024-04-27,103,Breakdown,Electrical
M4203,L5,2024-06-03,181,Planned,Mechanical
M9795,L5,2024-05-28,145,Breakdown,Mechanical
M3448,L5,2024-01-15,77,Breakdown,Wear & Tear
M2747,L5,2024-01-04,95,Breakdown,Mechanical
M6792,L5,2024-04-30,133,Breakdown,Wear & Tear
M5330,L5,2024-01-14,218,Breakdown,Electrical
M9470,L5,2024-06-24,156,Planned,Wear & Tear
M3170,L5,2024-02-17,78,Breakdown,Wear & Tear
M5740,L5,2024-02-24,85,Planned,Wear & Tear
M5085,L5,2024-02-15,145,Planned,Electrical
M5867,L5,2024-05-30,203,Planned,Wear & Tear
M6641,L6,2024-03-21,157,Breakdown,Mechanical
M5475,L6,2024-03-05,217,Planned,Wear & Tear
M7445,L6,2024-05-10,83,Planned,Electrical
M5153,L6,2024-04-13,122,Breakdown,Mechanical
M2883,L6,2024-03-15,206,Planned,Electrical
M6963,L6,2024-01-11,137,Breakdown,Electrical
M6500,L6,2024-05-20,103,Planned,Wear & Tear
M8963,L6,2024-04-08,239,Planned,Wear & Tear
M9437,L6,2024-02-19,225,Planned,Mechanical
M9371,L6,2024-05-14,208,Planned,Wear & Tear
M4330,L6,2024-06-09,135,Planned,Wear & Tear
M9699,L6,2024-04-07,209,Planned,Wear & Tear
