order_id,product_id,order_quantity,due_date,priority_level,customer_type
O1,PR5,2319,2024-05-31,High,Domestic
O2,PR3,2502,2024-06-08,Medium,Export
O3,PR3,4271,2024-06-07,Medium,Domestic
O4,PR2,1529,2024-06-14,Low,Domestic
O5,PR2,3640,2024-04-03,Low,Domestic
O6,PR4,3031,2024-05-21,Low,Export
O7,PR3,2531,2024-05-27,High,Export
O8,PR5,3528,2024-02-03,Low,Domestic
O9,PR4,2434,2024-03-07,Medium,Domestic
O10,PR2,4599,2024-01-15,High,Export
O11,PR5,2939,2024-03-07,Low,Export
O12,PR1,3369,2024-03-05,Medium,Export
O13,PR1,2484,2024-02-18,Medium,Domestic
O14,PR3,945,2024-05-02,High,Export
O15,PR3,4377,2024-02-01,Medium,Export
O16,PR3,1004,2024-04-22,Medium,Export
O17,PR3,3226,2024-05-20,Low,Export
O18,PR4,890,2024-05-11,Medium,Export
O19,PR3,2039,2024-04-11,Medium,Export
O20,PR3,1048,2024-01-26,Medium,Export
O21,PR5,1527,2024-04-25,High,Export
O22,PR2,3897,2024-04-06,Low,Domestic
O23,PR1,660,2024-03-06,High,Export
O24,PR1,4918,2024-02-27,Medium,Domestic
O25,PR5,1711,2024-05-29,Medium,Export
O26,PR1,4983,2024-05-06,Low,Export
O27,PR2,4542,2024-03-09,Medium,Domestic
O28,PR5,3937,2024-03-03,Low,Export
O29,PR1,1826,2024-04-24,High,Domestic
O30,PR1,1316,2024-02-20,Low,Export
O31,PR1,2985,2024-04-10,Medium,Domestic
O32,PR5,4974,2024-02-27,Medium,Domestic
O33,PR3,1505,2024-01-23,Medium,Domestic
O34,PR2,4420,2024-05-06,High,Domestic
O35,PR2,4895,2024-05-04,Medium,Domestic
O36,PR3,4679,2024-02-15,Medium,Export
O37,PR3,4506,2024-03-05,Medium,Export
O38,PR5,3154,2024-03-27,Medium,Export
O39,PR4,4526,2024-02-20,Medium,Export
O40,PR4,732,2024-01-25,High,Export
O41,PR4,1288,2024-01-27,High,Domestic
O42,PR4,827,2024-02-16,Medium,Export
O43,PR2,2485,2024-05-31,Medium,Domestic
O44,PR2,2599,2024-05-18,High,Domestic
O45,PR1,2640,2024-06-09,Medium,Domestic
O46,PR3,918,2024-05-21,Medium,Domestic
O47,PR5,1327,2024-04-25,Medium,Domestic
O48,PR4,3049,2024-03-15,Medium,Domestic
O49,PR1,4111,2024-05-24,Medium,Domestic
O50,PR2,1521,2024-05-27,High,Domestic
O51,PR2,773,2024-05-31,Medium,Export
O52,PR1,1982,2024-05-28,Medium,Domestic
O53,PR1,2048,2024-02-08,Medium,Domestic
O54,PR5,1410,2024-02-14,Low,Domestic
O55,PR4,4722,2024-06-03,Medium,Export
O56,PR3,3330,2024-06-10,High,Domestic
O57,PR5,3480,2024-01-20,High,Export
O58,PR1,3967,2024-03-15,Medium,Export
O59,PR2,1719,2024-05-20,Low,Domestic
O60,PR1,881,2024-04-30,Medium,Export
O61,PR3,2192,2024-06-15,Medium,Export
O62,PR5,4598,2024-05-04,Medium,Domestic
O63,PR3,2868,2024-06-16,Low,Export
O64,PR1,1330,2024-04-26,Medium,Domestic
O65,PR1,3881,2024-06-01,Medium,Domestic
O66,PR5,583,2024-06-02,Medium,Domestic
O67,PR5,815,2024-06-17,Low,Domestic
O68,PR5,609,2024-06-06,Medium,Export
O69,PR1,2470,2024-06-12,Low,Domestic
O70,PR4,957,2024-02-11,High,Domestic
O71,PR4,3350,2024-06-10,Medium,Export
O72,PR3,4471,2024-04-25,Low,Domestic
O73,PR1,1693,2024-05-29,Low,Domestic
O74,PR1,2931,2024-01-16,Medium,Domestic
O75,PR5,2562,2024-05-23,Medium,Domestic
O76,PR2,2927,2024-02-18,Low,Export
O77,PR3,697,2024-02-08,Low,Export
O78,PR2,1540,2024-04-10,Medium,Export
O79,PR5,1857,2024-04-19,High,Export
O80,PR1,3961,2024-03-16,Medium,Export
O81,PR2,4315,2024-05-26,Low,Domestic
O82,PR1,4822,2024-06-19,Medium,Domestic
O83,PR4,624,2024-03-01,Low,Export
O84,PR3,4525,2024-02-27,Low,Domestic
O85,PR5,3937,2024-03-07,Low,Domestic
O86,PR4,2014,2024-04-24,Medium,Domestic
O87,PR2,803,2024-02-05,Medium,Export
O88,PR2,1181,2024-06-15,High,Export
O89,PR3,4796,2024-03-09,High,Domestic
O90,PR5,1591,2024-02-18,Medium,Domestic
O91,PR5,4553,2024-03-01,High,Export
O92,PR3,925,2024-03-22,Low,Domestic
O93,PR5,3769,2024-06-09,Medium,Export
