date,plant_id,is_working_day,planned_shifts,planned_hours
2024-01-01,P1,True,3,24
2024-01-01,P2,True,3,24
2024-01-02,P1,True,3,24
2024-01-02,P2,True,3,24
2024-01-03,P1,True,3,24
2024-01-03,P2,True,3,24
2024-01-04,P1,True,3,24
2024-01-04,P2,True,3,24
2024-01-05,P1,True,3,24
2024-01-05,P2,True,3,24
2024-01-06,P1,True,3,24
2024-01-06,P2,True,3,24
2024-01-07,P1,False,0,0
2024-01-07,P2,False,0,0
2024-01-08,P1,True,3,24
2024-01-08,P2,True,3,24
2024-01-09,P1,True,3,24
2024-01-09,P2,True,3,24
2024-01-10,P1,True,3,24
2024-01-10,P2,True,3,24
2024-01-11,P1,True,3,24
2024-01-11,P2,True,3,24
2024-01-12,P1,True,3,24
2024-01-12,P2,True,3,24
2024-01-13,P1,True,3,24
2024-01-13,P2,True,3,24
2024-01-14,P1,False,0,0
2024-01-14,P2,False,0,0
2024-01-15,P1,True,3,24
2024-01-15,P2,True,3,24
2024-01-16,P1,True,3,24
2024-01-16,P2,True,3,24
2024-01-17,P1,True,3,24
2024-01-17,P2,True,3,24
2024-01-18,P1,True,3,24
2024-01-18,P2,True,3,24
2024-01-19,P1,True,3,24
2024-01-19,P2,True,3,24
2024-01-20,P1,True,3,24
2024-01-20,P2,True,3,24
2024-01-21,P1,False,0,0
2024-01-21,P2,False,0,0
2024-01-22,P1,True,3,24
2024-01-22,P2,True,3,24
2024-01-23,P1,True,3,24
2024-01-23,P2,True,3,24
2024-01-24,P1,True,3,24
2024-01-24,P2,True,3,24
2024-01-25,P1,True,3,24
2024-01-25,P2,True,3,24
2024-01-26,P1,True,3,24
2024-01-26,P2,True,3,24
2024-01-27,P1,True,3,24
2024-01-27,P2,True,3,24
2024-01-28,P1,False,0,0
2024-01-28,P2,False,0,0
2024-01-29,P1,True,3,24
2024-01-29,P2,True,3,24
2024-01-30,P1,True,3,24
2024-01-30,P2,True,3,24
2024-01-31,P1,True,3,24
2024-01-31,P2,True,3,24
2024-02-01,P1,True,3,24
2024-02-01,P2,True,3,24
2024-02-02,P1,True,3,24
2024-02-02,P2,True,3,24
2024-02-03,P1,True,3,24
2024-02-03,P2,True,3,24
2024-02-04,P1,False,0,0
2024-02-04,P2,False,0,0
2024-02-05,P1,True,3,24
2024-02-05,P2,True,3,24
2024-02-06,P1,True,3,24
2024-02-06,P2,True,3,24
2024-02-07,P1,True,3,24
2024-02-07,P2,True,3,24
2024-02-08,P1,True,3,24
2024-02-08,P2,True,3,24
2024-02-09,P1,True,3,24
2024-02-09,P2,True,3,24
2024-02-10,P1,True,3,24
2024-02-10,P2,True,3,24
2024-02-11,P1,False,0,0
2024-02-11,P2,False,0,0
2024-02-12,P1,True,3,24
2024-02-12,P2,True,3,24
2024-02-13,P1,True,3,24
2024-02-13,P2,True,3,24
2024-02-14,P1,True,3,24
2024-02-14,P2,True,3,24
2024-02-15,P1,True,3,24
2024-02-15,P2,True,3,24
2024-02-16,P1,True,3,24
2024-02-16,P2,True,3,24
2024-02-17,P1,True,3,24
2024-02-17,P2,True,3,24
2024-02-18,P1,False,0,0
2024-02-18,P2,False,0,0
2024-02-19,P1,True,3,24
2024-02-19,P2,True,3,24
2024-02-20,P1,True,3,24
2024-02-20,P2,True,3,24
2024-02-21,P1,True,3,24
2024-02-21,P2,True,3,24
