run_id,date,plant_id,line_id,shift_id,product_id,planned_units,actual_units,run_hours,downtime_minutes,scrap_units
R1,2024-01-01,P1,L1,S1,PR5,787,776,7.25,45,21
R2,2024-01-01,P1,L1,S2,PR2,804,770,7.68,19,11
R3,2024-01-01,P1,L1,S3,PR4,810,770,7.43,34,30
R4,2024-01-01,P1,L2,S1,PR2,723,716,7.88,7,11
R5,2024-01-01,P1,L2,S2,PR1,674,650,7.87,8,16
R6,2024-01-01,P1,L2,S3,PR4,605,587,7.5,30,10
R7,2024-01-01,P1,L3,S1,PR4,476,459,7.18,49,9
R8,2024-01-01,P1,L3,S2,PR1,552,536,7.72,17,17
R9,2024-01-01,P1,L3,S3,PR2,501,490,7.52,29,5
R10,2024-01-01,P2,L4,S1,PR1,704,690,7.92,5,10
R11,2024-01-01,P2,L4,S2,PR3,726,714,7.77,14,16
R12,2024-01-01,P2,L4,S3,PR1,708,676,7.9,6,16
R13,2024-01-01,P2,L5,S1,PR1,681,657,7.78,13,16
R14,2024-01-01,P2,L5,S2,PR4,584,570,7.52,29,8
R15,2024-01-01,P2,L5,S3,PR2,631,602,7.67,20,9
R16,2024-01-01,P2,L6,S1,PR5,476,453,7.15,51,8
R17,2024-01-01,P2,L6,S2,PR4,454,450,7.52,29,9
R18,2024-01-01,P2,L6,S3,PR4,416,401,7.0,60,10
R19,2024-01-02,P1,L1,S1,PR3,811,773,7.55,27,30
R20,2024-01-02,P1,L1,S2,PR3,793,783,7.68,19,12
R21,2024-01-02,P1,L1,S3,PR4,805,795,7.62,23,9
R22,2024-01-02,P1,L2,S1,PR2,698,675,7.53,28,9
R23,2024-01-02,P1,L2,S2,PR5,706,682,7.88,7,8
R24,2024-01-02,P1,L2,S3,PR1,698,673,7.95,3,13
R25,2024-01-02,P1,L3,S1,PR4,574,570,7.8,12,13
R26,2024-01-02,P1,L3,S2,PR2,572,546,7.55,27,17
R27,2024-01-02,P1,L3,S3,PR2,497,491,7.33,40,12
R28,2024-01-02,P2,L4,S1,PR3,822,802,7.82,11,18
R29,2024-01-02,P2,L4,S2,PR5,744,718,7.65,21,18
R30,2024-01-02,P2,L4,S3,PR5,706,702,7.88,7,12
R31,2024-01-02,P2,L5,S1,PR3,684,657,7.55,27,8
R32,2024-01-02,P2,L5,S2,PR2,620,597,7.65,21,8
R33,2024-01-02,P2,L5,S3,PR1,635,628,7.63,22,9
R34,2024-01-02,P2,L6,S1,PR3,515,512,7.67,20,13
R35,2024-01-02,P2,L6,S2,PR5,479,460,7.57,26,10
R36,2024-01-02,P2,L6,S3,PR5,476,471,7.82,11,16
R37,2024-01-03,P1,L1,S1,PR1,758,735,7.18,49,12
R38,2024-01-03,P1,L1,S2,PR1,769,735,7.38,37,14
R39,2024-01-03,P1,L1,S3,PR1,700,683,7.1,54,21
R40,2024-01-03,P1,L2,S1,PR1,712,689,7.92,5,26
R41,2024-01-03,P1,L2,S2,PR1,594,572,7.58,25,6
R42,2024-01-03,P1,L2,S3,PR3,642,629,7.75,15,15
R43,2024-01-03,P1,L3,S1,PR1,507,485,7.28,43,11
R44,2024-01-03,P1,L3,S2,PR4,527,526,7.37,38,9
R45,2024-01-03,P1,L3,S3,PR2,552,530,7.78,13,16
R46,2024-01-03,P2,L4,S1,PR1,785,760,7.78,13,22
R47,2024-01-03,P2,L4,S2,PR5,798,761,7.98,1,26
R48,2024-01-03,P2,L4,S3,PR5,797,769,7.72,17,11
R49,2024-01-03,P2,L5,S1,PR3,641,630,7.63,22,6
R50,2024-01-03,P2,L5,S2,PR2,641,625,7.9,6,10
R51,2024-01-03,P2,L5,S3,PR3,585,575,7.93,4,12
R52,2024-01-03,P2,L6,S1,PR1,498,496,7.35,39,7
R53,2024-01-03,P2,L6,S2,PR5,450,448,7.15,51,16
R54,2024-01-03,P2,L6,S3,PR1,440,423,7.22,47,12
R55,2024-01-04,P1,L1,S1,PR4,823,803,7.7,18,13
R56,2024-01-04,P1,L1,S2,PR2,881,841,7.77,14,31
R57,2024-01-04,P1,L1,S3,PR5,721,697,7.13,52,14
R58,2024-01-04,P1,L2,S1,PR5,704,694,7.67,20,25
R59,2024-01-04,P1,L2,S2,PR4,684,671,7.67,20,8
R60,2024-01-04,P1,L2,S3,PR2,643,616,7.6,24,22
R61,2024-01-04,P1,L3,S1,PR5,548,520,7.67,20,7
R62,2024-01-04,P1,L3,S2,PR4,473,462,7.02,59,14
R63,2024-01-04,P1,L3,S3,PR4,459,452,7.45,33,7
R64,2024-01-04,P2,L4,S1,PR1,798,771,7.95,3,24
R65,2024-01-04,P2,L4,S2,PR5,786,772,7.7,18,20
R66,2024-01-04,P2,L4,S3,PR5,731,697,7.82,11,14
R67,2024-01-04,P2,L5,S1,PR1,601,600,7.58,25,13
R68,2024-01-04,P2,L5,S2,PR4,619,615,7.77,14,17
R69,2024-01-04,P2,L5,S3,PR5,628,614,7.97,2,15
R70,2024-01-04,P2,L6,S1,PR1,529,507,7.42,35,16
R71,2024-01-04,P2,L6,S2,PR4,455,453,7.35,39,17
R72,2024-01-04,P2,L6,S3,PR3,462,460,7.22,47,9
R73,2024-01-05,P1,L1,S1,PR1,759,757,7.0,60,26
R74,2024-01-05,P1,L1,S2,PR2,736,710,7.0,60,15
R75,2024-01-05,P1,L1,S3,PR5,720,690,7.43,34,18
